Adsorbent,尺寸,Surface area ,孔径,孔容,zeta,-OH,-CO3,-COOH,-N,金属,非金属,pH,Mo初始浓度,Dose,吸附动力学,Mo adsorption capacity,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,40,260,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,70,270,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,180,300,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,10000,6,40,350,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,10000,6,180,395,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,15000,6,180,380,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,20000,6,180,360,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,180,400,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,180,345,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,180,250,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,180,220,
UiO-66 (Ce),纳米,1140,10,0.4,9,1,0,0,0,Ce,,3,5000,6,180,182,
PCeCl,,,,,,1,0,0,0,Ce,,12,600,10,20,94,
壳聚糖1,微米,/,/,/,/,1,0,0,1,,C,3,200,0.1,,700,
壳聚糖2,微米,/,/,/,/,1,0,0,1,,C,3,200,0.1,,700,
壳聚糖3,纳米,/,/,/,6.3,1,0,0,1,,C,3,600,5,,265,
ZnAl-LDH,纳米,22,,0.05,,1,0,0,0,"Zn,Al",,6,100,1,120,114,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,33.31226117,2,720,2.945651442,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,60.1613487,2,720,10.61862141,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,87.52602224,2,720,20.00736624,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,116.0541514,2,720,27.96757961,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,173.5392019,2,720,49.68665874,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,223.4294238,2,720,65.47827899,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,342.8885277,2,720,104.129746,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,444.0591826,2,720,111.1839548,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,547.5972103,2,720,128.2657896,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,664.977247,2,720,139.6380093,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,863.5354978,2,720,155.5780181,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,1051.395453,2,720,190.1287814,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,33.31226117,2,720,2.080616649,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,60.1613487,2,720,6.315401325,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,87.52602224,2,720,17.70898971,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,116.0541514,2,720,25.07443129,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,173.5392019,2,720,42.33302085,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,223.4294238,2,720,66.97186075,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,342.8885277,2,720,102.1531393,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,444.0591826,2,720,112.6202823,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,547.5972103,2,720,134.7947979,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,664.977247,2,720,161.2322904,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,863.5354978,2,720,143.7769449,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,1051.395453,2,720,172.4578137,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,634.3025338,2,720,138.8694723,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,3,634.3025338,2,720,119.7597795,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,4,634.3025338,2,720,65.9972152,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,5,634.3025338,2,720,46.91117666,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,6,634.3025338,2,720,13.36925768,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,7,634.3025338,2,720,17.34258446,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,8,634.3025338,2,720,20.36407959,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,9,634.3025338,2,720,14.93214131,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,10,634.3025338,2,720,10.01308299,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,11,634.3025338,2,720,1.716059362,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,2,634.3025338,2,720,159.003126,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,3,634.3025338,2,720,109.4258764,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,4,634.3025338,2,720,81.03303859,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,5,634.3025338,2,720,68.36388541,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,6,634.3025338,2,720,24.07730834,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,7,634.3025338,2,720,16.51204046,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,8,634.3025338,2,720,10.00993945,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,9,634.3025338,2,720,9.688788293,
AlOOH,微米,105,35,0.25,9.9,1,0,0,0,Al,,10,634.3025338,2,720,10.38875765,
